trial_number,params,val_fitness,train_fitness,gen_gap,final_score,val_mean_recall,val_min_recall,n_iterations
86,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 10, 'W_TRI': 0, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8381770661697304,0.9813400019039161,0.1431629357341857,0.7434326625684519,0.8867470132504128,0.8057971014492754,17
87,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 64}",0.8595850372122784,0.9842313945920169,0.1246463573797385,0.7926155011426707,0.8924408539002612,0.8376811594202899,15
88,"{'W_CHAR': 0, 'W_WORD': 8, 'W_BI': 5, 'W_TRI': 10, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 32}",0.8091998463917411,0.9808702413694494,0.1716703949777083,0.6716942539251787,0.840390920327179,0.7884057971014493,14
89,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8616438150677872,0.9833170958289611,0.1216732807611739,0.7991338939260264,0.897587798539033,0.8376811594202899,32
90,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8623664393757717,0.9850527225861067,0.12268628321033492,0.7983370145602693,0.895046533222038,0.8405797101449275,20
91,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8616438150677872,0.9833170958289611,0.1216732807611739,0.7991338939260264,0.897587798539033,0.8376811594202899,32
92,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8616438150677872,0.9833170958289611,0.1216732807611739,0.7991338939260264,0.897587798539033,0.8376811594202899,32
93,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8616438150677872,0.9833170958289611,0.1216732807611739,0.7991338939260264,0.897587798539033,0.8376811594202899,32
94,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8616438150677872,0.9833170958289611,0.1216732807611739,0.7991338939260264,0.897587798539033,0.8376811594202899,32
95,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8616438150677872,0.9833170958289611,0.1216732807611739,0.7991338939260264,0.897587798539033,0.8376811594202899,32
